Year,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Arena,Attend.,Playoffs,W/L%,Losing_season,Champion,won_last,won_last_3
2022.0,Atlanta Hawks,26.1,43.0,39.0,45.0,37.0,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23.0,0.205,0.543,11.5,76.9,0.177,State Farm Arena,672742.0,N,0.524390243902439,N,N,,Y
2022.0,Boston Celtics,26.1,51.0,31.0,59.0,23.0,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,0.542,12.4,24.0,0.195,0.502,12.5,77.3,0.183,TD Garden,727928.0,N,0.6219512195121951,N,N,N,Y
2022.0,Brooklyn Nets,29.1,44.0,38.0,43.0,39.0,0.78,0.04,0.82,113.6,112.8,0.8,99.0,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,Barclays Center,711539.0,N,0.5365853658536586,N,N,N,Y
2022.0,Charlotte Hornets,25.5,43.0,39.0,42.0,40.0,0.44,0.09,0.53,114.1,113.7,0.4,100.0,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,Spectrum Center,700755.0,N,0.524390243902439,N,N,N,N
2022.0,Chicago Bulls,26.3,46.0,36.0,40.0,42.0,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,United Center,856148.0,N,0.5609756097560976,N,N,N,N
2022.0,Cleveland Cavaliers,24.7,44.0,38.0,47.0,35.0,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,0.538,13.2,24.0,0.198,0.52,12.3,76.5,0.172,Rocket Mortgage Fieldhouse,758228.0,N,0.5365853658536586,N,N,N,N
2022.0,Dallas Mavericks,26.7,52.0,30.0,50.0,32.0,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,0.521,12.2,78.0,0.185,American Airlines Center,808037.0,N,0.6341463414634146,N,N,N,N
2022.0,Denver Nuggets,27.7,48.0,34.0,47.0,35.0,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,Ball Arena,695262.0,N,0.5853658536585366,N,N,N,N
2022.0,Detroit Pistons,23.6,23.0,59.0,22.0,60.0,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,Little Caesars Arena,663556.0,N,0.2804878048780488,Y,N,N,N
2022.0,Golden State Warriors,27.6,53.0,29.0,55.0,27.0,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,0.509,13.0,78.7,0.201,Chase Center,740624.0,N,0.6463414634146342,N,N,N,N
2022.0,Houston Rockets,24.1,20.0,62.0,21.0,61.0,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,Toyota Center,638977.0,N,0.24390243902439024,Y,N,N,N
2022.0,Indiana Pacers,26.0,25.0,57.0,32.0,50.0,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,Gainbridge Fieldhouse,588743.0,N,0.3048780487804878,Y,N,N,N
2022.0,Los Angeles Clippers,27.5,42.0,40.0,41.0,41.0,0.02,0.06,0.09,110.1,110.1,0.0,98.0,0.224,0.391,0.564,0.531,12.5,20.6,0.178,0.514,12.0,74.4,0.167,Crypto.com Arena,694005.0,N,0.5121951219512195,N,N,N,N
2022.0,Los Angeles Lakers,30.2,33.0,49.0,33.0,49.0,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,0.259,0.388,0.567,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,Crypto.com Arena,764631.0,N,0.4024390243902439,Y,N,N,N
2022.0,Memphis Grizzlies,24.0,56.0,26.0,55.0,27.0,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.346,0.553,0.522,11.2,30.0,0.18,0.523,13.3,77.8,0.195,FedEx Forum,646785.0,N,0.6829268292682927,N,N,N,N
2022.0,Miami Heat,28.2,53.0,29.0,53.0,29.0,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78.0,0.209,FTX Arena,804761.0,N,0.6463414634146342,N,N,N,N
2022.0,Milwaukee Bucks,28.5,51.0,31.0,49.0,33.0,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,0.546,11.9,23.0,0.199,0.536,11.6,78.6,0.165,Fiserv Forum,715581.0,N,0.6219512195121951,N,N,N,N
2022.0,Minnesota Timberwolves,24.2,46.0,36.0,48.0,34.0,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,Target Center,657148.0,N,0.5609756097560976,N,N,N,N
2022.0,New Orleans Pelicans,25.6,36.0,46.0,38.0,44.0,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.208,0.547,13.0,78.2,0.196,Smoothie King Center,635941.0,N,0.43902439024390244,Y,N,N,N
2022.0,New York Knicks,26.0,37.0,45.0,41.0,41.0,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,0.513,12.0,25.1,0.208,0.521,11.7,78.8,0.198,Madison Square Garden (IV),763484.0,N,0.45121951219512196,Y,N,N,N
2022.0,Oklahoma City Thunder,22.4,24.0,58.0,21.0,61.0,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.5,0.223,0.419,0.53,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,Paycom Center,595112.0,N,0.2926829268292683,Y,N,N,N
2022.0,Orlando Magic,23.3,22.0,60.0,21.0,61.0,-8.0,0.33,-7.67,104.5,112.5,-8.0,99.2,0.223,0.417,0.538,0.503,13.0,19.8,0.175,0.532,11.7,77.2,0.196,Amway Center,622881.0,N,0.2682926829268293,Y,N,N,N
2022.0,Philadelphia 76ers,26.8,51.0,31.0,48.0,34.0,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,0.534,11.6,20.1,0.232,0.524,12.1,76.8,0.192,Wells Fargo Center,846867.0,N,0.6219512195121951,N,N,N,N
2022.0,Phoenix Suns,27.5,64.0,18.0,59.0,23.0,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,0.549,11.6,22.3,0.176,0.51,13.0,77.1,0.195,Phoenix Suns Arena,663171.0,N,0.7804878048780488,N,N,N,N
2022.0,Portland Trail Blazers,25.6,27.0,55.0,20.0,62.0,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,0.515,13.0,22.9,0.188,0.559,12.7,76.9,0.222,Moda Center,705608.0,N,0.32926829268292684,Y,N,N,N
2022.0,Sacramento Kings,25.8,30.0,52.0,28.0,54.0,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76.0,0.176,Golden 1 Center,577583.0,N,0.36585365853658536,Y,N,N,N
2022.0,San Antonio Spurs,24.5,34.0,48.0,41.0,41.0,0.12,-0.1,0.02,112.4,112.3,0.1,100.0,0.22,0.345,0.556,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,AT&T Center,615588.0,N,0.4146341463414634,Y,N,N,N
2022.0,Toronto Raptors,24.8,48.0,34.0,47.0,35.0,2.29,0.08,2.38,112.9,110.5,2.4,96.0,0.234,0.375,0.543,0.51,11.0,28.4,0.177,0.535,14.4,75.6,0.199,Scotiabank Arena,547343.0,N,0.5853658536585366,N,N,N,N
2022.0,Utah Jazz,29.3,49.0,33.0,56.0,26.0,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,Vivint Smart Home Arena,750546.0,N,0.5975609756097561,N,N,N,N
2022.0,Washington Wizards,25.9,35.0,47.0,32.0,50.0,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.356,0.568,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,Capital One Arena,641499.0,N,0.4268292682926829,Y,N,N,N
